archivo,orden,nivel,seccion
uniform.html,1,H1,Distribución Uniforme
uniform.html,2,H2,Configuración
uniform.html,3,H2,Resultado y visualización
uniform.html,4,H3,Distribución uniforme
uniform.html,5,H3,Explicación breve
uniform.html,6,H3,Fórmula
uniform.html,7,H3,Parámetros
uniform.html,8,H3,Ejemplo resuelto
uniform.html,9,H3,¿Qué calcula esta herramienta?
uniform.html,10,H3,Cómo interpretar el resultado
uniform.html,11,H3,Calculadoras relacionadas
uniform.html,12,H3,Preguntas frecuentes
weibull.html,1,H1,Distribución Weibull
weibull.html,2,H2,Configuración
weibull.html,3,H2,Resultado y visualización
weibull.html,4,H3,Distribución Weibull
weibull.html,5,H3,Explicación breve
weibull.html,6,H3,Fórmula
weibull.html,7,H3,Parámetros
weibull.html,8,H3,Ejemplo resuelto
weibull.html,9,H3,¿Qué calcula esta herramienta?
weibull.html,10,H3,Cómo interpretar el resultado
weibull.html,11,H3,Calculadoras relacionadas
weibull.html,12,H3,Preguntas frecuentes
